INFO 2025-06-27 16:52:04,028 autoreload 7976 6108 Watching for file changes with StatReloader
INFO 2025-06-27 16:58:30,543 basehttp 5724 5312 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:30,543 basehttp 5724 10260 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:34,802 basehttp 5724 8064 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:58:34,822 basehttp 5724 8064 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 17:09:03,649 autoreload 3580 11796 Watching for file changes with StatReloader
INFO 2025-06-27 17:09:13,779 basehttp 3580 10076 "OPTIONS /api/guests/ HTTP/1.1" 200 0
INFO 2025-06-27 17:09:13,780 basehttp 3580 11352 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2025-06-27 17:09:13,780 basehttp 3580 776 "OPTIONS /api/bookings/ HTTP/1.1" 200 0
INFO 2025-06-27 17:09:13,780 basehttp 3580 12228 "OPTIONS /api/rooms/ HTTP/1.1" 200 0
INFO 2025-06-27 17:09:13,798 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:13,799 views 3580 10076 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:13,800 basehttp 3580 776 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:13,801 basehttp 3580 10076 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:13,802 basehttp 3580 12228 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:13,806 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:13,807 views 3580 10076 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:13,808 basehttp 3580 12228 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:13,808 basehttp 3580 10076 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:13,819 basehttp 3580 776 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:19,498 basehttp 3580 11352 "OPTIONS /api/auth/token/ HTTP/1.1" 200 0
INFO 2025-06-27 17:09:19,988 basehttp 3580 11352 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:09:19,995 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:20,184 views 3580 776 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:20,187 basehttp 3580 12228 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:20,187 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:20,188 basehttp 3580 776 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:20,187 basehttp 3580 10076 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:20,194 basehttp 3580 11352 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:20,195 basehttp 3580 10076 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:20,195 views 3580 776 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:20,196 basehttp 3580 12228 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:20,197 basehttp 3580 776 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,708 basehttp 3580 11352 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:09:27,715 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:27,925 views 3580 776 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:27,926 basehttp 3580 12228 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,927 basehttp 3580 776 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,927 basehttp 3580 10076 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,934 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:27,959 views 3580 10076 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:09:27,959 basehttp 3580 776 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:09:27,959 basehttp 3580 11352 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,960 basehttp 3580 10076 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:09:27,964 basehttp 3580 12228 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,171 basehttp 3580 11352 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:11:13,177 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:11:13,953 views 3580 12228 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:11:13,955 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:11:13,957 basehttp 3580 12228 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,957 basehttp 3580 776 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,957 basehttp 3580 10076 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,965 basehttp 3580 11352 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:11:13,966 views 3580 776 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:11:13,968 basehttp 3580 776 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,970 basehttp 3580 10076 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:11:13,970 basehttp 3580 12228 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:13:51,569 autoreload 5484 5408 Watching for file changes with StatReloader
INFO 2025-06-27 17:14:04,538 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:14:04,540 views 5484 6060 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:14:04,541 basehttp 5484 6180 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:04,542 basehttp 5484 11568 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:04,543 basehttp 5484 6060 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:04,544 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:14:04,548 basehttp 5484 6180 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:04,550 views 5484 11568 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:14:04,550 basehttp 5484 11684 "GET /api/bookings/ HTTP/1.1" 200 2
